invoice_id,account_id,invoice_date,amount,payment_status
I0000001,A00002,2024-10-25,49.0,paid
I0000002,A00002,2024-11-25,49.0,paid
I0000003,A00002,2024-12-25,49.0,paid
I0000004,A00002,2025-01-25,49.0,paid
I0000005,A00002,2025-02-25,49.0,paid
I0000006,A00003,2025-07-13,49.0,paid
I0000007,A00003,2025-08-13,49.0,paid
I0000008,A00003,2025-09-13,49.0,paid
I0000009,A00003,2025-10-13,49.0,paid
I0000010,A00003,2025-11-13,49.0,paid
I0000011,A00003,2025-12-13,49.0,paid
I0000012,A00003,2026-01-13,49.0,paid
I0000013,A00003,2026-02-13,49.0,paid
I0000014,A00003,2026-03-13,49.0,paid
I0000015,A00004,2025-03-23,99.0,paid
I0000016,A00004,2025-04-23,99.0,paid
I0000017,A00004,2025-05-23,99.0,paid
I0000018,A00004,2025-06-23,99.0,paid
I0000019,A00004,2025-07-23,99.0,paid
I0000020,A00004,2025-08-23,99.0,paid
I0000021,A00004,2025-09-23,99.0,paid
I0000022,A00004,2025-10-23,99.0,paid
I0000023,A00004,2025-11-23,99.0,paid
I0000024,A00004,2025-12-23,99.0,paid
I0000025,A00004,2026-01-23,99.0,paid
I0000026,A00004,2026-02-23,99.0,paid
I0000027,A00004,2026-03-23,99.0,paid
I0000028,A00005,2024-02-29,49.0,paid
I0000029,A00005,2024-03-29,49.0,paid
I0000030,A00005,2024-04-29,49.0,paid
I0000031,A00005,2024-05-29,49.0,paid
I0000032,A00005,2024-06-29,49.0,paid
I0000033,A00005,2024-07-29,49.0,paid
I0000034,A00005,2024-08-29,49.0,paid
I0000035,A00008,2025-05-31,249.0,paid
I0000036,A00008,2025-06-30,249.0,paid
I0000037,A00010,2024-10-28,99.0,paid
I0000038,A00010,2024-11-28,99.0,paid
I0000039,A00010,2024-12-28,99.0,paid
I0000040,A00010,2025-01-28,99.0,paid
I0000041,A00010,2025-02-28,99.0,paid
I0000042,A00010,2025-03-28,99.0,paid
I0000043,A00010,2025-04-28,99.0,paid
I0000044,A00010,2025-05-28,99.0,paid
I0000045,A00011,2024-09-18,99.0,paid
I0000046,A00011,2024-10-18,99.0,paid
I0000047,A00011,2024-11-18,99.0,paid
I0000048,A00011,2024-12-18,99.0,paid
I0000049,A00011,2025-01-18,99.0,paid
I0000050,A00011,2025-02-18,99.0,paid
I0000051,A00015,2024-10-28,49.0,paid
