ticket_id,account_id,created_at,priority,resolution_hours,csat_score
K000001,A00001,2026-01-23,medium,10.6,5.0
K000002,A00002,2024-12-13,medium,7.4,3.6
K000003,A00002,2025-01-25,medium,34.9,1.9
K000004,A00003,2025-08-29,low,15.3,3.5
K000005,A00004,2026-02-09,medium,25.0,4.2
K000006,A00006,2026-02-01,medium,7.3,3.5
K000007,A00006,2026-03-31,low,15.7,4.6
K000008,A00006,2026-01-02,medium,11.0,3.9
K000009,A00008,2025-06-20,low,19.0,4.6
K000010,A00008,2025-06-27,low,15.5,3.8
K000011,A00009,2024-09-23,low,23.8,4.1
K000012,A00009,2025-02-04,high,7.2,4.3
K000013,A00009,2025-02-19,low,9.8,3.1
K000014,A00010,2025-04-16,high,20.7,3.1
K000015,A00010,2024-11-25,low,12.6,3.4
K000016,A00011,2025-01-01,low,5.3,3.7
K000017,A00011,2025-02-05,high,39.9,3.4
K000018,A00011,2024-09-22,medium,11.2,3.5
K000019,A00012,2025-09-20,low,13.4,4.2
K000020,A00012,2026-01-03,low,0.5,3.5
K000021,A00012,2026-03-22,low,7.0,4.9
K000022,A00015,2025-01-16,low,17.7,3.4
K000023,A00015,2024-11-15,low,1.7,4.0
K000024,A00015,2024-12-20,low,11.4,4.1
K000025,A00016,2024-09-08,high,4.7,3.8
K000026,A00016,2024-05-27,low,3.6,4.3
K000027,A00017,2025-04-18,medium,5.8,4.5
K000028,A00022,2024-08-28,low,19.7,3.8
K000029,A00022,2024-08-27,low,21.8,3.4
K000030,A00023,2026-02-24,medium,10.8,4.2
K000031,A00024,2025-08-24,low,3.5,4.1
K000032,A00025,2026-02-25,low,6.2,2.9
K000033,A00026,2025-03-13,low,2.9,4.1
K000034,A00026,2025-05-26,low,2.5,4.5
K000035,A00027,2025-04-26,low,12.8,3.2
K000036,A00027,2025-01-10,medium,5.7,4.7
K000037,A00029,2025-05-21,medium,9.2,3.8
K000038,A00029,2024-05-26,low,7.9,4.4
K000039,A00031,2025-08-26,low,1.0,4.5
K000040,A00033,2024-09-04,low,3.9,5.0
K000041,A00033,2025-01-10,low,22.8,2.9
K000042,A00034,2025-08-10,low,4.7,4.6
K000043,A00034,2025-01-26,low,8.1,4.4
K000044,A00035,2025-10-26,low,0.8,3.3
K000045,A00036,2024-08-04,low,8.5,3.8
K000046,A00037,2024-12-11,low,19.3,3.7
K000047,A00037,2026-02-03,high,11.6,3.5
K000048,A00038,2025-05-04,low,10.3,4.2
K000049,A00040,2026-02-22,low,3.2,3.3
K000050,A00041,2025-11-27,medium,19.1,3.7
K000051,A00041,2025-06-14,low,21.7,4.5
K000052,A00041,2026-01-15,low,17.2,4.0
K000053,A00044,2025-09-14,medium,11.9,3.5
K000054,A00044,2025-08-23,low,15.8,5.0
K000055,A00044,2024-11-18,medium,15.7,3.3
K000056,A00046,2026-02-03,low,5.0,2.6
K000057,A00048,2025-04-15,medium,6.9,3.7
K000058,A00051,2024-11-10,medium,3.1,3.6
K000059,A00052,2025-11-09,low,7.1,4.6
K000060,A00054,2025-04-30,low,26.8,3.9
K000061,A00055,2026-03-30,low,6.7,4.7
K000062,A00057,2025-03-15,medium,2.4,3.8
K000063,A00058,2025-08-20,low,6.5,4.4
K000064,A00060,2024-04-24,high,5.3,4.1
K000065,A00064,2025-06-16,high,27.2,3.9
K000066,A00066,2025-12-22,low,10.2,3.4
K000067,A00067,2025-01-15,medium,15.8,3.8
K000068,A00067,2025-01-21,high,20.2,3.1
K000069,A00068,2024-09-01,high,9.5,5.0
K000070,A00069,2024-04-21,medium,13.2,3.7
K000071,A00071,2025-01-20,low,29.8,3.2
K000072,A00071,2025-08-10,low,20.3,2.7
K000073,A00074,2024-08-08,high,7.1,5.0
K000074,A00076,2026-03-20,medium,15.0,3.2
K000075,A00077,2025-01-27,low,15.5,3.9
K000076,A00077,2026-03-12,low,4.8,4.6
K000077,A00078,2025-05-19,low,41.8,3.0
K000078,A00078,2025-07-14,high,14.1,4.7
K000079,A00078,2025-07-25,low,12.9,2.6
K000080,A00078,2026-01-20,low,17.4,3.5
K000081,A00079,2025-02-25,low,30.5,3.6
K000082,A00079,2025-04-03,medium,4.0,4.1
K000083,A00079,2025-07-14,low,5.2,3.4
K000084,A00080,2025-09-05,high,35.3,3.5
K000085,A00080,2026-03-21,low,4.0,3.7
K000086,A00081,2025-08-18,medium,13.2,4.0
K000087,A00082,2025-11-24,medium,3.2,4.1
K000088,A00082,2024-10-15,medium,4.5,4.3
K000089,A00084,2025-10-23,medium,19.7,3.4
K000090,A00085,2024-04-12,low,4.9,4.1
K000091,A00086,2026-01-10,low,20.0,3.6
K000092,A00086,2024-03-15,low,12.9,4.8
K000093,A00086,2025-04-11,high,40.1,3.5
K000094,A00086,2024-09-17,low,20.2,4.0
K000095,A00086,2025-07-10,low,6.0,4.0
K000096,A00087,2025-08-18,low,11.5,3.2
K000097,A00087,2025-04-10,low,8.3,4.2
K000098,A00089,2024-08-31,high,11.6,3.4
K000099,A00091,2025-05-28,high,6.3,3.8
K000100,A00092,2025-03-21,low,8.1,3.9
K000101,A00093,2025-01-04,low,6.6,3.7
K000102,A00094,2024-10-12,medium,2.9,4.1
K000103,A00094,2024-09-27,low,11.4,4.1
K000104,A00096,2025-06-23,low,9.5,4.1
K000105,A00097,2025-04-15,low,25.2,3.5
K000106,A00098,2024-11-30,low,13.7,5.0
K000107,A00098,2026-02-19,low,17.5,4.0
K000108,A00098,2026-02-10,medium,23.7,4.0
K000109,A00100,2026-03-28,medium,16.0,4.0
K000110,A00101,2025-11-20,high,30.0,2.5
K000111,A00102,2025-05-12,medium,10.8,4.4
K000112,A00102,2025-03-20,low,23.0,4.0
K000113,A00104,2026-02-03,high,26.1,3.1
K000114,A00106,2025-06-30,low,9.0,3.4
K000115,A00111,2025-10-24,low,11.1,3.8
K000116,A00112,2024-06-30,low,9.0,3.2
K000117,A00113,2025-03-26,low,16.1,5.0
K000118,A00113,2025-05-20,medium,8.4,3.7
K000119,A00114,2025-02-09,low,15.2,3.8
K000120,A00115,2024-04-30,medium,11.8,5.0
K000121,A00115,2024-12-08,low,7.2,3.6
K000122,A00115,2024-05-17,low,17.3,4.2
K000123,A00115,2024-08-19,medium,14.4,4.4
K000124,A00116,2025-09-07,medium,1.7,4.1
K000125,A00116,2025-09-26,low,3.3,3.9
K000126,A00118,2025-05-05,medium,1.6,4.8
K000127,A00119,2025-07-17,medium,15.0,4.4
K000128,A00120,2025-04-23,low,6.3,4.4
K000129,A00124,2025-04-23,high,49.7,4.0
K000130,A00125,2024-10-18,medium,8.0,4.0
K000131,A00125,2024-06-22,low,8.8,4.2
K000132,A00126,2025-07-19,low,0.7,4.1
K000133,A00126,2025-04-11,low,13.0,4.1
K000134,A00128,2026-01-10,low,16.0,3.7
K000135,A00128,2026-02-26,low,6.2,4.0
K000136,A00128,2024-12-10,low,8.0,3.7
K000137,A00128,2025-03-28,low,3.1,3.9
K000138,A00129,2024-03-20,medium,10.9,4.7
K000139,A00129,2024-08-16,high,2.7,4.8
K000140,A00130,2025-01-18,low,21.6,3.1
K000141,A00130,2025-01-08,medium,27.5,3.3
K000142,A00130,2025-02-05,medium,19.1,3.4
K000143,A00131,2024-04-30,low,10.1,3.1
K000144,A00132,2025-09-09,low,5.2,3.6
K000145,A00132,2025-09-27,medium,1.4,5.0
K000146,A00133,2025-02-12,low,6.1,4.4
K000147,A00137,2026-03-14,high,37.1,3.1
K000148,A00137,2026-02-27,medium,13.5,3.8
K000149,A00138,2025-06-11,medium,13.8,3.6
K000150,A00139,2025-05-19,low,0.5,5.0
K000151,A00140,2024-05-09,low,18.6,2.7
K000152,A00145,2026-02-06,medium,25.8,3.3
K000153,A00148,2025-05-03,low,18.9,3.1
K000154,A00149,2025-10-07,high,18.9,3.4
K000155,A00151,2026-01-05,high,34.6,4.2
K000156,A00152,2025-09-20,high,23.5,3.0
K000157,A00153,2026-03-23,low,41.5,3.8
K000158,A00153,2025-10-06,low,1.3,4.4
K000159,A00154,2026-01-17,low,20.4,3.1
K000160,A00154,2025-09-06,medium,12.3,3.8
K000161,A00158,2025-10-24,low,6.4,3.6
K000162,A00158,2026-03-19,medium,16.4,3.8
K000163,A00161,2025-09-15,medium,11.1,2.6
K000164,A00161,2024-12-14,low,12.3,4.5
K000165,A00162,2025-12-03,low,8.8,4.4
K000166,A00164,2024-08-03,medium,6.5,3.0
K000167,A00164,2024-05-11,medium,15.6,3.8
K000168,A00164,2025-04-16,low,0.9,4.3
K000169,A00165,2024-12-18,medium,9.5,3.5
K000170,A00166,2024-09-04,low,18.3,4.0
K000171,A00168,2025-06-18,low,21.9,3.7
K000172,A00169,2024-09-25,high,33.2,3.7
K000173,A00169,2024-10-13,low,17.5,4.1
K000174,A00169,2024-09-05,medium,5.0,3.9
K000175,A00172,2026-02-02,low,6.4,3.6
K000176,A00173,2025-10-12,low,19.8,3.6
K000177,A00174,2026-03-11,medium,16.7,2.4
K000178,A00175,2025-03-27,low,8.9,3.7
K000179,A00176,2024-02-21,medium,13.8,4.4
K000180,A00176,2024-02-24,low,9.8,3.6
K000181,A00176,2024-02-03,low,7.4,4.1
K000182,A00178,2026-03-02,low,19.3,3.5
K000183,A00178,2025-11-19,medium,14.6,4.2
K000184,A00180,2025-09-23,low,8.6,3.9
K000185,A00180,2026-01-02,low,6.5,4.2
K000186,A00181,2025-10-24,medium,43.7,4.1
K000187,A00182,2025-09-18,medium,5.5,5.0
K000188,A00183,2025-06-29,low,4.3,4.0
K000189,A00184,2024-08-02,medium,3.7,4.9
K000190,A00184,2025-06-06,medium,7.0,4.1
K000191,A00184,2026-01-08,medium,17.2,4.7
K000192,A00184,2025-09-11,high,21.4,3.9
K000193,A00185,2025-09-07,low,9.5,4.8
K000194,A00185,2025-10-14,low,14.8,4.1
K000195,A00187,2025-07-08,low,10.3,4.1
K000196,A00188,2024-11-17,low,2.1,4.7
K000197,A00188,2025-07-15,low,13.4,4.3
K000198,A00188,2025-08-18,low,6.8,3.6
K000199,A00188,2024-05-12,low,9.5,4.4
K000200,A00191,2025-10-08,low,2.5,4.5
K000201,A00192,2025-03-25,low,9.8,4.3
K000202,A00192,2025-10-16,low,6.9,3.9
K000203,A00192,2025-07-18,low,12.9,3.4
K000204,A00194,2025-12-20,low,8.4,3.5
K000205,A00195,2025-12-09,low,27.9,5.0
K000206,A00195,2024-08-11,high,4.0,3.9
K000207,A00197,2025-03-04,low,1.7,4.1
K000208,A00198,2025-08-15,low,3.3,4.8
K000209,A00201,2025-06-23,low,0.5,4.2
K000210,A00202,2025-12-22,high,55.3,2.3
K000211,A00203,2025-01-18,medium,12.8,5.0
K000212,A00204,2024-06-08,high,9.4,4.5
K000213,A00204,2025-02-12,low,17.7,4.0
K000214,A00205,2024-01-28,high,12.2,4.2
K000215,A00205,2024-03-02,medium,34.1,2.2
K000216,A00205,2024-01-17,low,9.5,4.3
K000217,A00207,2025-01-08,low,7.2,4.0
K000218,A00212,2025-02-17,high,14.9,4.0
K000219,A00213,2025-03-11,low,7.9,4.0
K000220,A00213,2024-08-26,low,4.9,3.8
K000221,A00216,2025-10-01,low,4.3,4.6
K000222,A00217,2025-05-13,low,3.2,3.7
K000223,A00217,2025-04-03,medium,7.5,4.7
