touch_id,account_id,touch_date,channel,campaign_id,touch_position,touch_count
T0000001,A00001,2025-05-05,Paid Social,SOC_Retargeting,1,1
T0000002,A00002,2024-09-12,Referral,REF_Customer,1,2
T0000003,A00002,2024-10-08,Paid Search,PS_Competitor,2,2
T0000004,A00003,2025-06-12,Direct,DIR_None,1,2
T0000005,A00003,2025-07-02,Organic Search,ORG_SEO,2,2
T0000006,A00004,2025-03-14,Paid Social,SOC_Video,1,2
T0000007,A00004,2025-03-13,Email,EML_Nurture,2,2
T0000008,A00005,2024-02-24,Organic Search,ORG_SEO,1,1
T0000009,A00006,2025-09-02,Referral,REF_Customer,1,2
T0000010,A00006,2025-09-16,Paid Search,PS_Competitor,2,2
T0000011,A00007,2025-04-11,Organic Search,ORG_SEO,1,2
T0000012,A00007,2025-04-29,Paid Search,PS_Brand,2,2
T0000013,A00008,2025-05-16,Direct,DIR_None,1,1
T0000014,A00009,2024-02-29,Referral,REF_Customer,1,2
T0000015,A00009,2024-03-19,Partner,PART_Community,2,2
T0000016,A00010,2024-10-15,Direct,DIR_None,1,3
T0000017,A00010,2024-09-22,Organic Search,ORG_SEO,2,3
T0000018,A00010,2024-10-14,Paid Social,SOC_Retargeting,3,3
T0000019,A00011,2024-08-17,Paid Social,SOC_Retargeting,1,3
T0000020,A00011,2024-08-22,Organic Search,ORG_SEO,2,3
T0000021,A00011,2024-08-29,Email,EML_Nurture,3,3
T0000022,A00012,2025-08-20,Organic Search,ORG_SEO,1,1
T0000023,A00013,2025-02-05,Direct,DIR_None,1,1
T0000024,A00014,2025-06-04,Organic Search,ORG_SEO,1,2
T0000025,A00014,2025-06-10,Organic Search,ORG_SEO,2,2
T0000026,A00015,2024-10-12,Paid Search,PS_Brand,1,1
T0000027,A00016,2024-05-24,Organic Search,ORG_SEO,1,1
T0000028,A00017,2024-12-18,Paid Search,PS_Competitor,1,2
T0000029,A00017,2024-12-18,Email,EML_Reactivation,2,2
T0000030,A00018,2024-02-03,Direct,DIR_None,1,1
T0000031,A00019,2025-06-12,Paid Social,SOC_Prospecting,1,1
T0000032,A00020,2025-01-30,Organic Search,ORG_SEO,1,2
T0000033,A00020,2025-01-29,Organic Search,ORG_SEO,2,2
T0000034,A00021,2025-04-25,Paid Search,PS_Brand,1,1
T0000035,A00022,2024-07-31,Paid Search,PS_Brand,1,3
T0000036,A00022,2024-08-16,Direct,DIR_None,2,3
T0000037,A00022,2024-08-18,Paid Social,SOC_Retargeting,3,3
T0000038,A00023,2025-09-07,Paid Search,PS_Brand,1,4
T0000039,A00023,2025-08-17,Paid Search,PS_NonBrand,2,4
T0000040,A00023,2025-08-18,Organic Search,ORG_SEO,3,4
T0000041,A00023,2025-09-15,Paid Search,PS_NonBrand,4,4
T0000042,A00024,2025-07-29,Organic Search,ORG_SEO,1,1
T0000043,A00025,2025-04-19,Paid Social,SOC_Prospecting,1,2
T0000044,A00025,2025-05-11,Referral,REF_Customer,2,2
T0000045,A00026,2024-04-04,Referral,REF_Customer,1,2
T0000046,A00026,2024-05-02,Referral,REF_Customer,2,2
T0000047,A00027,2024-10-24,Email,EML_Reactivation,1,3
T0000048,A00027,2024-10-18,Organic Search,ORG_SEO,2,3
T0000049,A00027,2024-10-25,Direct,DIR_None,3,3
T0000050,A00028,2024-01-20,Paid Social,SOC_Retargeting,1,1
T0000051,A00029,2024-03-18,Direct,DIR_None,1,4
T0000052,A00029,2024-03-22,Organic Search,ORG_SEO,2,4
T0000053,A00029,2024-03-25,Referral,REF_Customer,3,4
T0000054,A00029,2024-04-04,Paid Search,PS_NonBrand,4,4
T0000055,A00030,2025-02-08,Referral,REF_Customer,1,2
T0000056,A00030,2025-03-05,Paid Social,SOC_Retargeting,2,2
T0000057,A00031,2025-03-24,Paid Social,SOC_Prospecting,1,2
T0000058,A00031,2025-04-16,Organic Search,ORG_SEO,2,2
T0000059,A00032,2025-08-31,Paid Search,PS_Brand,1,3
T0000060,A00032,2025-09-01,Paid Social,SOC_Video,2,3
T0000061,A00032,2025-09-13,Referral,REF_Customer,3,3
T0000062,A00033,2024-07-31,Referral,REF_Customer,1,2
T0000063,A00033,2024-08-02,Partner,PART_Community,2,2
T0000064,A00034,2024-08-29,Organic Search,ORG_SEO,1,1
T0000065,A00035,2024-10-26,Paid Search,PS_Competitor,1,3
T0000066,A00035,2024-10-11,Direct,DIR_None,2,3
T0000067,A00035,2024-10-28,Paid Search,PS_Competitor,3,3
T0000068,A00036,2024-04-15,Email,EML_Nurture,1,4
T0000069,A00036,2024-04-02,Direct,DIR_None,2,4
T0000070,A00036,2024-04-16,Paid Social,SOC_Retargeting,3,4
T0000071,A00036,2024-04-27,Direct,DIR_None,4,4
T0000072,A00037,2024-03-19,Paid Social,SOC_Retargeting,1,1
T0000073,A00038,2024-10-31,Paid Social,SOC_Prospecting,1,1
T0000074,A00039,2024-05-10,Paid Search,PS_Brand,1,3
T0000075,A00039,2024-04-27,Paid Search,PS_Competitor,2,3
T0000076,A00039,2024-05-23,Partner,PART_Consultants,3,3
T0000077,A00040,2025-02-25,Paid Social,SOC_Retargeting,1,3
T0000078,A00040,2025-02-16,Organic Search,ORG_SEO,2,3
T0000079,A00040,2025-02-22,Paid Social,SOC_Video,3,3
T0000080,A00041,2024-10-05,Organic Search,ORG_SEO,1,1
T0000081,A00042,2025-05-29,Organic Search,ORG_SEO,1,2
T0000082,A00042,2025-06-15,Direct,DIR_None,2,2
T0000083,A00043,2025-03-13,Email,EML_Reactivation,1,4
T0000084,A00043,2025-02-28,Organic Search,ORG_SEO,2,4
T0000085,A00043,2025-03-02,Paid Social,SOC_Retargeting,3,4
T0000086,A00043,2025-03-16,Email,EML_Nurture,4,4
T0000087,A00044,2024-06-27,Paid Search,PS_NonBrand,1,2
T0000088,A00044,2024-07-23,Organic Search,ORG_SEO,2,2
T0000089,A00045,2025-05-31,Paid Search,PS_NonBrand,1,2
T0000090,A00045,2025-06-17,Organic Search,ORG_SEO,2,2
T0000091,A00046,2025-05-27,Referral,REF_Customer,1,1
T0000092,A00047,2024-08-30,Paid Search,PS_NonBrand,1,4
T0000093,A00047,2024-08-18,Partner,PART_Consultants,2,4
T0000094,A00047,2024-08-16,Paid Social,SOC_Prospecting,3,4
T0000095,A00047,2024-09-09,Referral,REF_Customer,4,4
T0000096,A00048,2024-07-07,Paid Search,PS_Brand,1,1
T0000097,A00049,2025-03-01,Organic Search,ORG_SEO,1,3
T0000098,A00049,2025-02-09,Organic Search,ORG_SEO,2,3
T0000099,A00049,2025-03-05,Paid Social,SOC_Retargeting,3,3
T0000100,A00050,2024-03-07,Referral,REF_Customer,1,2
