subscription_id,account_id,trial_start_date,conversion_date,plan_name,monthly_recurring_revenue,cancel_date,status
S00001,A00001,2025-05-08,,Trial Only,0,,trial_expired
S00002,A00002,2024-10-09,2024-10-25,Starter,49,2025-03-06,cancelled
S00003,A00003,2025-07-05,2025-07-13,Starter,49,,active
S00004,A00004,2025-03-16,2025-03-23,Pro,99,,active
S00005,A00005,2024-02-24,2024-02-29,Starter,49,2024-09-06,cancelled
S00006,A00006,2025-09-18,,Trial Only,0,,trial_expired
S00007,A00007,2025-04-29,,Trial Only,0,,trial_expired
S00008,A00008,2025-05-16,2025-05-31,Business,249,2025-07-15,cancelled
S00009,A00009,2024-03-19,,Trial Only,0,,trial_expired
S00010,A00010,2024-10-17,2024-10-28,Pro,99,2025-06-05,cancelled
S00011,A00011,2024-09-01,2024-09-18,Pro,99,2025-03-13,cancelled
S00012,A00012,2025-08-21,,Trial Only,0,,trial_expired
S00013,A00013,2025-02-07,,Trial Only,0,,trial_expired
S00014,A00014,2025-06-10,,Trial Only,0,,trial_expired
S00015,A00015,2024-10-12,2024-10-28,Starter,49,2025-02-01,cancelled
S00016,A00016,2024-05-26,2024-06-18,Business,249,2024-11-14,cancelled
S00017,A00017,2024-12-18,,Trial Only,0,,trial_expired
S00018,A00018,2024-02-03,2024-02-29,Starter,49,2024-06-15,cancelled
S00019,A00019,2025-06-14,,Trial Only,0,,trial_expired
S00020,A00020,2025-01-30,2025-02-12,Starter,49,2025-03-07,cancelled
S00021,A00021,2025-04-27,,Trial Only,0,,trial_expired
S00022,A00022,2024-08-21,2024-08-28,Pro,99,2024-09-01,cancelled
S00023,A00023,2025-09-15,2025-09-20,Starter,49,,active
S00024,A00024,2025-07-29,,Trial Only,0,,trial_expired
S00025,A00025,2025-05-11,,Trial Only,0,,trial_expired
S00026,A00026,2024-05-03,2024-05-19,Starter,49,2026-02-12,cancelled
S00027,A00027,2024-10-28,,Trial Only,0,,trial_expired
S00028,A00028,2024-01-23,2024-02-09,Starter,49,2024-05-23,cancelled
S00029,A00029,2024-04-06,,Trial Only,0,,trial_expired
S00030,A00030,2025-03-06,,Trial Only,0,,trial_expired
S00031,A00031,2025-04-17,2025-04-24,Starter,49,2026-01-18,cancelled
S00032,A00032,2025-09-14,,Trial Only,0,,trial_expired
S00033,A00033,2024-08-02,2024-08-06,Business,249,2026-03-07,cancelled
S00034,A00034,2024-09-01,,Trial Only,0,,trial_expired
S00035,A00035,2024-10-30,,Trial Only,0,,trial_expired
